target_col,feature_label,split_type,model_name,task_type,eval_group,n_test_pooled,n_train,n_folds,selected_hyperparameters,hyperparameter_tuning_enabled,hyperparameter_tuning_metric,test_spearman,test_pearson,test_r2,test_mae,test_rmse
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,ridge,regression,all_data,651,520.8,5,"{""alpha"": 2.555151394803624, ""max_iter"": 1000}",True,spearman,0.5825,0.8847,0.7716,3.3252,4.086
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,mlp_pytorch,regression,all_data,651,520.8,5,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 80, ""learning_rate"": 0.00014653521030672147, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.6151,0.9155,0.8334,2.8594,3.478
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,ridge,regression,all_data,600,480.0,5,"{""alpha"": 8.000170008643197, ""max_iter"": 1000}",True,spearman,0.5574,0.8759,0.7613,3.5013,4.2626
hic_rt_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,mlp_pytorch,regression,all_data,600,480.0,5,"{""batch_size"": 16, ""device"": ""cpu"", ""hidden_size"": 208, ""learning_rate"": 0.00037742771117266113, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.5886,0.9092,0.8233,3.0467,3.6616
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,ridge,regression,all_data,431,344.8,5,"{""alpha"": 0.015466737040892535, ""max_iter"": 1000}",True,spearman,0.0375,-0.0507,-2.0289,6.5493,11.7868
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,mlp_pytorch,regression,all_data,431,344.8,5,"{""batch_size"": 8, ""device"": ""cpu"", ""hidden_size"": 144, ""learning_rate"": 0.0002060924941320236, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.0883,0.0143,-0.3989,4.5234,9.4447
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,ridge,regression,all_data,380,304.0,5,"{""alpha"": 0.0195172246414495, ""max_iter"": 1000}",True,spearman,0.0556,0.0205,-1.8447,7.5572,12.7543
sec_%monomer_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,mlp_pytorch,regression,all_data,380,304.0,5,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 224, ""learning_rate"": 0.00022948683681130568, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,-0.0105,0.0331,-0.5254,5.583,10.4713
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,ridge,regression,all_data,551,440.8,5,"{""alpha"": 0.20890406240632287, ""max_iter"": 1000}",True,spearman,0.4785,0.4737,0.2069,6.7969,8.5958
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,mlp_pytorch,regression,all_data,551,440.8,5,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 128, ""learning_rate"": 0.0021576967455896826, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.3523,0.3466,0.0786,7.0643,9.2816
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,ridge,regression,all_data,517,413.6,5,"{""alpha"": 5.449280398972804, ""max_iter"": 1000}",True,spearman,0.4318,0.3872,0.1318,6.668,8.3474
acsins_dLmax_ph7.4_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,mlp_pytorch,regression,all_data,517,413.6,5,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 160, ""learning_rate"": 0.00019485671251272575, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.2524,0.237,0.0298,7.0751,8.8031
tm1_nanodsf_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,ridge,regression,all_data,557,445.6,5,"{""alpha"": 0.3274322312664325, ""max_iter"": 1000}",True,spearman,0.4366,0.4384,0.1702,3.0941,4.2714
tm1_nanodsf_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll,random,mlp_pytorch,regression,all_data,557,445.6,5,"{""batch_size"": 32, ""device"": ""cpu"", ""hidden_size"": 256, ""learning_rate"": 0.004824911273717913, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.4535,0.4492,0.1815,2.9998,4.2412
tm1_nanodsf_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,ridge,regression,all_data,510,408.0,5,"{""alpha"": 0.5701256861337152, ""max_iter"": 1000}",True,spearman,0.4027,0.4557,0.1667,3.0957,4.1323
tm1_nanodsf_avg,vh_esm2_seq_embeddings_cdrh_esm2_pll_georgiev_mean_pooled,random,mlp_pytorch,regression,all_data,510,408.0,5,"{""batch_size"": 64, ""device"": ""cpu"", ""hidden_size"": 256, ""learning_rate"": 0.0006370432544336975, ""max_epochs"": 400, ""min_delta"": 1e-05, ""n_layers"": 2, ""patience"": 15, ""random_state"": 42, ""validation_split"": 0.2}",True,spearman,0.4125,0.4403,0.1742,2.9982,4.1417
